Wake Forest,52,Delaware,14
Army,25,Tulsa,26
Oklahoma,17,Missouri,6
SMU,38,Louisville,6
Virginia Tech,17,Miami,34
Iowa State,38,Kansas,14
Georgia,35,Charlotte,3
James Madison,24,Washington State,20
Georgia Southern,10,Old Dominion,45
Arizona,41,Baylor,17
Toledo,38,Ball State,9
Kennesaw State,41,Missouri State,34
Wyoming,7,Nevada,13
App State,26,Marshall,24
UTEP,31,New Mexico State,34
Louisiana Tech,34,Liberty,28
Middle Tennessee,31,Sam Houston,17
Florida Atlantic,45,UConn,48
UAB,18,South Florida,48
Texas,52,Arkansas,37
UTSA,58,East Carolina,24
North Carolina,25,Duke,32
Notre Dame,70,Syracuse,7
South Alabama,42,Southern Miss,35
Florida International,27,Jacksonville State,21
Oregon,42,USC,27
Iowa,20,Michigan State,17
Vanderbilt,45,Kentucky,17
Temple,13,Tulane,37
UCF,17,Oklahoma State,14
Maryland,20,Michigan,45
Houston,14,TCU,17
Utah,51,Kansas State,47
Troy,31,Georgia State,19
South Carolina,51,Coastal Carolina,7
Texas State,31,UL Monroe,14
Penn State,37,Nebraska,10
Air Force,3,New Mexico,20
Georgia Tech,28,Pittsburgh,42
Boise State,49,Colorado State,21
Stanford,31,California,10
Florida,11,Tennessee,31
Wisconsin,27,Illinois,10
Rice,24,North Texas,56
LSU,13,Western Kentucky,10
Colorado,17,Arizona State,42
Cincinnati,14,BYU,26
Fresno State,17,Utah State,28
San Diego State,25,San José State,3
UCLA,14,Washington,48
Massachusetts,14,Bowling Green,45
Eastern Michigan,21,Western Michigan,31
Memphis,17,Navy,28
Mississippi State,19,Ole Miss,38
Nebraska,16,Iowa,40
Buffalo,26,Ohio,31
Kansas,21,Utah,31
Northern Illinois,31,Kent State,35
Colorado State,21,Air Force,42
Georgia Tech,9,Georgia,16
New Mexico,23,San Diego State,17
North Texas,52,Temple,25
Utah State,24,Boise State,25
Texas,27,Texas A&M,17
Purdue,3,Indiana,56
Arizona State,7,Arizona,23
Baylor,24,Houston,31
Oklahoma State,13,Iowa State,20
Pittsburgh,7,Miami,38
Miami (OH),45,Ball State,24
Central Michigan,3,Toledo,21
Florida Atlantic,3,East Carolina,42
West Virginia,0,Texas Tech,49
Michigan,9,Ohio State,27
South Carolina,14,Clemson,28
Kansas State,24,Colorado,14
Louisville,41,Kentucky,0
Sam Houston,16,Florida International,56
Delaware,61,UTEP,31
BYU,41,UCF,21
Marshall,19,Georgia Southern,24
Missouri State,30,Louisiana Tech,42
Old Dominion,27,Georgia State,10
Jacksonville State,37,Western Kentucky,34
App State,29,Arkansas State,30
Syracuse,12,Boston College,34
Tulsa,24,UAB,31
Texas State,49,South Alabama,26
Louisiana,30,UL Monroe,27
New Mexico State,24,Middle Tennessee,31
Rutgers,36,Penn State,40
Southern Miss,18,Troy,28
Liberty,42,Kennesaw State,48
Tennessee,24,Vanderbilt,45
Oklahoma,17,LSU,13
TCU,45,Cincinnati,23
UTSA,24,Army,27
Washington,14,Oregon,26
Duke,49,Wake Forest,32
Arkansas,17,Missouri,31
Minnesota,17,Wisconsin,7
Coastal Carolina,10,James Madison,59
Florida,40,Florida State,21
Washington State,32,Oregon State,8
Michigan State,38,Maryland,28
Virginia,27,Virginia Tech,7
South Florida,52,Rice,3
NC State,42,North Carolina,19
Tulane,27,Charlotte,0
USC,29,UCLA,10
Illinois,20,Northwestern,13
Auburn,20,Alabama,27
California,38,SMU,35
Nevada,17,UNLV,42
Stanford,20,Notre Dame,49
San José State,14,Fresno State,41
Hawai'i,27,Wyoming,7
Jacksonville State,15,Kennesaw State,19
James Madison,31,Troy,14
Tulane,34,North Texas,21
Boise State,38,UNLV,21
Western Michigan,23,Miami (OH),13
Texas Tech,34,BYU,7
Alabama,7,Georgia,28
Virginia,20,Duke,27
Ohio State,10,Indiana,13
Navy,17,Army,16
Washington,38,Boise State,10
Jacksonville State,17,Troy,13
South Florida,10,Old Dominion,24
Delaware,20,Louisiana,13
Arkansas State,34,Missouri State,28
Western Michigan,41,Kennesaw State,6
NC State,31,Memphis,7
Oklahoma,24,Alabama,34
Texas A&M,3,Miami,10
Ole Miss,41,Tulane,10
Oregon,51,James Madison,34
Utah State,21,Washington State,34
Louisville,27,Toledo,22
Southern Miss,16,Western Kentucky,27
Ohio,17,UNLV,10
Hawai'i,35,California,31
Northwestern,34,Central Michigan,7
Minnesota,20,New Mexico,17
UTSA,57,Florida International,20
East Carolina,23,Pittsburgh,17
Clemson,10,Penn State,22
Army,41,UConn,16
BYU,25,Georgia Tech,21
Fresno State,18,Miami (OH),3
San Diego State,47,North Texas,49
Missouri,7,Virginia,13
Houston,38,LSU,35
App State,10,Georgia Southern,29
Louisiana Tech,23,Coastal Carolina,14
Illinois,30,Tennessee,28
TCU,30,USC,27
Vanderbilt,27,Iowa,34
Duke,42,Arizona State,39
Texas,41,Michigan,27
Utah,44,Nebraska,22
Ohio State,14,Miami,24
Texas Tech,0,Oregon,23
Indiana,38,Alabama,3
Georgia,34,Ole Miss,39
Texas State,41,Rice,10
Cincinnati,13,Navy,35
SMU,24,Arizona,19
Mississippi State,29,Wake Forest,43
Ole Miss,27,Miami,31
Indiana,56,Oregon,22
Indiana,27,Miami,21
